4314.87,4020,4282.56,4137.95,4350.77,4637.44,4088.21,4632.31,4206.15,4241.03,4213.33,4286.67,4617.44,4376.92,0
4312.31,4016.92,4280.51,4131.79,4349.23,4633.85,4087.69,4626.15,4197.95,4238.46,4212.31,4285.13,4616.41,4375.38,0
4312.31,4013.85,4282.05,4130.26,4350.77,4633.33,4087.69,4626.67,4202.56,4235.38,4208.72,4289.23,4614.87,4372.31,0
4314.36,4013.85,4282.56,4134.36,4351.28,4635.9,4086.67,4635.9,4215.9,4242.05,4211.79,4297.44,4614.36,4372.31,0
4315.38,4014.36,4278.46,4134.87,4349.23,4635.9,4084.1,4637.95,4218.97,4250.26,4218.46,4300.51,4612.31,4376.92,0
4316.41,4017.44,4278.97,4133.33,4347.69,4637.95,4085.13,4635.9,4215.9,4251.28,4219.49,4296.41,4616.92,4381.54,0
4314.87,4017.44,4279.49,4131.79,4348.72,4638.46,4084.1,4640.51,4213.33,4245.64,4211.28,4289.74,4615.9,4374.36,0
4310.77,4010.77,4269.74,4126.15,4349.74,4630.77,4076.92,4642.05,4209.23,4237.95,4205.64,4287.18,4607.18,4365.64,0
4311.28,4008.72,4261.54,4120.51,4350.77,4626.15,4076.41,4636.92,4207.18,4235.9,4207.18,4287.18,4607.69,4367.18,0
4310.26,4010.26,4263.59,4122.05,4350.26,4633.33,4082.56,4635.9,4204.62,4236.92,4206.67,4285.64,4612.82,4369.74,0
4308.21,4008.72,4267.18,4121.54,4348.21,4636.41,4084.1,4636.41,4198.46,4236.92,4205.64,4285.13,4612.31,4369.23,0
4312.31,4009.74,4267.69,4122.56,4349.74,4632.82,4083.59,4631.79,4194.36,4235.9,4208.72,4287.18,4613.85,4372.31,0
4315.38,4015.38,4267.18,4124.1,4350.26,4633.85,4085.64,4631.79,4198.97,4236.92,4209.74,4289.23,4616.92,4378.46,0
4317.44,4019.49,4271.79,4123.08,4351.79,4636.41,4083.59,4633.33,4206.15,4241.54,4210.77,4291.28,4616.92,4378.97,0
4322.56,4024.1,4277.44,4125.64,4357.44,4634.36,4078.97,4626.67,4205.64,4243.59,4210.77,4290.77,4620.51,4374.87,0
4321.03,4022.05,4277.44,4125.64,4354.36,4634.87,4083.59,4627.18,4206.15,4240,4211.79,4289.23,4622.56,4375.38,0
4316.92,4017.95,4276.41,4122.56,4348.21,4640,4090.26,4640.51,4214.36,4244.62,4212.82,4291.79,4620.51,4383.08,0
4318.46,4020.51,4276.41,4123.08,4351.28,4637.44,4087.18,4645.13,4216.41,4252.31,4210.26,4291.79,4620.51,4382.05,0
4316.41,4021.54,4271.28,4123.59,4352.82,4631.28,4081.54,4640.51,4207.18,4247.18,4207.69,4284.62,4617.95,4374.36,0
