"140","2015-02-02 14:19:00",23.7,26.272,585.2,749.2,0.00476416302416414,1
"141","2015-02-02 14:19:59",23.718,26.29,578.4,760.4,0.00477266099212519,1
"142","2015-02-02 14:21:00",23.73,26.23,572.666666666667,769.666666666667,0.00476515255246541,1
"143","2015-02-02 14:22:00",23.7225,26.125,493.75,774.75,0.00474377335599685,1
"144","2015-02-02 14:23:00",23.754,26.2,488.6,779,0.00476659399998615,1
"145","2015-02-02 14:23:59",23.76,26.26,568.666666666667,790,0.00477933243163454,1
"146","2015-02-02 14:25:00",23.73,26.29,536.333333333333,798,0.00477613633274892,1
"147","2015-02-02 14:25:59",23.754,26.29,509,797,0.00478309370839038,1
"148","2015-02-02 14:26:59",23.754,26.35,476,803.2,0.00479409399662041,1
"149","2015-02-02 14:28:00",23.736,26.39,510,809,0.00479618871038935,1
"150","2015-02-02 14:29:00",23.745,26.445,481.5,815.25,0.00480888622067716,1
"151","2015-02-02 14:30:00",23.7,26.56,481.8,824,0.0048167933677358,1
"152","2015-02-02 14:31:00",23.7,26.6,475.25,832,0.00482410383674874,1
"153","2015-02-02 14:31:59",23.7,26.7,469,845.333333333333,0.00484238075533563,1
"154","2015-02-02 14:32:59",23.7,26.774,464,852.4,0.00485590636128976,1
"155","2015-02-02 14:34:00",23.7,26.89,464,861,0.00487710983719076,1
"156","2015-02-02 14:35:00",23.7,26.9725,455,880,0.004892190768364,1
"157","2015-02-02 14:36:00",23.6,26.89,454,891,0.00484759441396992,1
"158","2015-02-02 14:37:00",23.64,26.976,458,897.6,0.0048750447811301,1
"159","2015-02-02 14:38:00",23.65,27.05,464,900.5,0.00489149158929623,1
"160","2015-02-02 14:38:59",23.64,27.1,473,908.8,0.00489763024345823,1
"161","2015-02-02 14:39:59",23.6,27.16,464,918,0.00489665184522539,1
"162","2015-02-02 14:41:00",23.6,27.236,498.4,925.2,0.00491046198855591,1
"163","2015-02-02 14:42:00",23.6,27.29,530.2,929.4,0.0049202748285747,1
"164","2015-02-02 14:43:00",23.6,27.33,533.6,936.4,0.00492754379701558,1
"165","2015-02-02 14:44:00",23.6,27.34,524.25,950,0.0049293610654639,1
"166","2015-02-02 14:44:59",23.625,27.3925,498.666666666667,961,0.00494640574744149,1
"167","2015-02-02 14:45:59",23.6,27.39,516.333333333333,963,0.00493844756573873,1
"168","2015-02-02 14:47:00",23.6,27.412,501.2,958.6,0.00494244570930318,1
"169","2015-02-02 14:48:00",23.6,27.5,522,965.333333333333,0.00495843879351724,1
"170","2015-02-02 14:49:00",23.6,27.525,520.5,979.25,0.00496298243218165,1
"171","2015-02-02 14:50:00",23.6,27.6,505.285714285714,978.428571428571,0.00497661374332263,1
"172","2015-02-02 14:51:00",23.6,27.6,488.333333333333,983,0.00497661374332263,1
"173","2015-02-02 14:51:59",23.6,27.54,512,992.6,0.00496570864699156,1
"174","2015-02-02 14:53:00",23.6,27.6,511,997.2,0.00497661374332263,1
"175","2015-02-02 14:54:00",23.6166666666667,27.6333333333333,501.5,999.5,0.00498771842139186,1
"176","2015-02-02 14:55:00",23.6666666666667,27.7,503.666666666667,1001,0.00501505086095386,1
"177","2015-02-02 14:55:59",23.6,27.7,483.166666666667,1009.5,0.00499478974690881,1
"178","2015-02-02 14:57:00",23.6,27.7225,483.5,1019,0.00499887949294923,1
"179","2015-02-02 14:57:59",23.6,27.79,473,1021,0.00501114905119468,1
"180","2015-02-02 14:58:59",23.6,27.8566666666667,470.333333333333,1024.66666666667,0.00502326760476436,1
"181","2015-02-02 15:00:00",23.6,27.8042857142857,480.142857142857,1030.42857142857,0.00501374584466786,1
"182","2015-02-02 15:01:00",23.575,27.79,464,1026.25,0.00500354474845336,1
"183","2015-02-02 15:02:00",23.54,27.81,474.4,1028,0.00499653801060323,1
"184","2015-02-02 15:03:00",23.6,27.978,470,1034.8,0.00504532457442066,1
"185","2015-02-02 15:04:00",23.525,28,454,1055.5,0.00502636675819462,1
"186","2015-02-02 15:04:59",23.5,27.978,454,1055.25,0.0050147597241768,1
"187","2015-02-02 15:06:00",23.5,28,454,1050,0.00501873480786954,1
"188","2015-02-02 15:07:00",23.5,28,454,1051.25,0.00501873480786954,1
"189","2015-02-02 15:08:00",23.5,28,445,1053.6,0.00501873480786954,1
"190","2015-02-02 15:08:59",23.5,28,439,1055.5,0.00501873480786954,1
